kx	ky	Q3(up)
0.123258	0.524017	0.190091
0.134463	0.530486	0.188652
0.145668	0.536956	0.186805
0.156873	0.543425	0.18482
0.168078	0.549894	0.182944
0.179284	0.556364	0.181376
0.190489	0.562833	0.18026
0.403388	0.465793	0.179392
0.414594	0.472262	0.179683
0.425799	0.478732	0.180543
0.437004	0.485201	0.181908
0.448209	0.49167	0.183659
0.459415	0.49814	0.185622
0.47062	0.504609	0.187574
0.481825	0.511078	0.189252
0.49303	0.517548	0.190394
0.504236	0.524017	0.190801
0.313747	0.414038	0.190395
0.324952	0.420507	0.189252
0.336157	0.426977	0.187574
0.347362	0.433446	0.185622
0.358568	0.439916	0.183659
0.369773	0.446385	0.181908
0.380978	0.452854	0.180544
0.392183	0.459324	0.179684
0.403388	0.478732	0.179684
0.414594	0.485201	0.180261
0.425799	0.49167	0.181376
0.437004	0.49814	0.182944
0.448209	0.504609	0.18482
0.459415	0.511078	0.186805
0.47062	0.517548	0.188652
0.481825	0.524017	0.190091
0.49303	0.530486	0.190884
0.504236	0.536956	0.190884
0.313747	0.426977	0.190092
0.324952	0.433446	0.188652
0.336157	0.439916	0.186805
0.347362	0.446385	0.18482
0.358568	0.452854	0.182944
0.369773	0.459323	0.181376
0.380978	0.465793	0.18026
0.392183	0.472262	0.179683
0.403388	0.49167	0.180544
0.414594	0.49814	0.181376
0.425799	0.504609	0.182704
0.437004	0.511078	0.18442
0.448209	0.517548	0.186358
0.459415	0.524017	0.188292
0.47062	0.530486	0.189959
0.481825	0.536956	0.191095
0.49303	0.543425	0.191499
0.504236	0.549894	0.191095
0.313747	0.439916	0.189959
0.324952	0.446385	0.188292
0.336157	0.452854	0.186358
0.347362	0.459323	0.18442
0.358568	0.465793	0.182704
0.369773	0.472262	0.181376
0.380978	0.478732	0.180543
0.392183	0.485201	0.180261
0.403388	0.504609	0.181908
0.414594	0.511078	0.182944
0.425799	0.517548	0.18442
0.437004	0.524017	0.186212
0.448209	0.530486	0.188131
0.459415	0.536956	0.18993
0.47062	0.543425	0.191335
0.481825	0.549894	0.19211
0.49303	0.556364	0.19211
0.504236	0.562833	0.191336
0.313747	0.452854	0.189929
0.324952	0.459324	0.188131
0.336157	0.465793	0.186212
0.347362	0.472262	0.18442
0.358568	0.478732	0.182944
0.369773	0.485201	0.181908
0.380978	0.49167	0.181376
0.392183	0.49814	0.181376
0.403388	0.517548	0.183658
0.414594	0.524017	0.18482
0.425799	0.530486	0.186358
0.437004	0.536956	0.188131
0.448209	0.543425	0.18993
0.459415	0.549894	0.191493
0.47062	0.556364	0.192561
0.481825	0.562833	0.192942
0.49303	0.569302	0.192561
0.504236	0.575772	0.191493
0.313747	0.465793	0.18993
0.324952	0.472262	0.188131
0.336157	0.478732	0.186357
0.347362	0.485201	0.18482
0.358568	0.49167	0.183659
0.369773	0.498139	0.182944
0.380978	0.504609	0.182704
0.392183	0.511078	0.182944
0.403388	0.530486	0.185622
0.414594	0.536956	0.186805
0.425799	0.543425	0.188292
0.437004	0.549894	0.18993
0.448209	0.556364	0.191493
0.459415	0.562833	0.192728
0.47062	0.569302	0.193412
0.481825	0.575772	0.193411
0.49303	0.582241	0.192728
0.504236	0.58871	0.191493
0.313747	0.478732	0.18993
0.324952	0.485201	0.188292
0.336157	0.49167	0.186805
0.347362	0.49814	0.185622
0.358568	0.504609	0.18482
0.369773	0.511078	0.18442
0.380978	0.517548	0.18442
0.392183	0.524017	0.18482
0.403388	0.543425	0.187574
0.414594	0.549894	0.188652
0.425799	0.556364	0.18996
0.437004	0.562833	0.191336
0.448209	0.569302	0.192561
0.459415	0.575772	0.193411
0.47062	0.582241	0.193716
0.481825	0.58871	0.193411
0.49303	0.59518	0.192561
0.504236	0.601649	0.191336
0.313747	0.49167	0.189959
0.324952	0.498139	0.188652
0.336157	0.504609	0.187573
0.347362	0.511078	0.186805
0.358568	0.517548	0.186357
0.369773	0.524017	0.186212
0.380978	0.530486	0.186357
0.392183	0.536956	0.186805
0.403388	0.556364	0.189252
0.414594	0.562833	0.190091
0.425799	0.569302	0.191095
0.437004	0.575772	0.19211
0.448209	0.582241	0.192941
0.459415	0.58871	0.193412
0.47062	0.59518	0.193411
0.481825	0.601649	0.192941
0.49303	0.608118	0.192109
0.504236	0.614588	0.191095
0.313747	0.504609	0.190092
0.324952	0.511078	0.189252
0.336157	0.517548	0.188652
0.347362	0.524017	0.188292
0.358568	0.530486	0.188131
0.369773	0.536956	0.188131
0.380978	0.543425	0.188292
0.392183	0.549894	0.188652
0.403388	0.569302	0.190394
0.414594	0.575772	0.190884
0.425799	0.582241	0.191499
0.437004	0.58871	0.192109
0.448209	0.59518	0.192561
0.459415	0.601649	0.192728
0.47062	0.608118	0.192561
0.481825	0.614588	0.19211
0.49303	0.621057	0.191499
0.504236	0.627526	0.190884
0.313747	0.517548	0.190394
0.324952	0.524017	0.190091
0.336157	0.530486	0.189959
0.347362	0.536956	0.189929
0.358568	0.543425	0.18993
0.369773	0.549894	0.189929
0.380978	0.556364	0.189959
0.392183	0.562833	0.190091
0.403388	0.582241	0.1908
0.414594	0.58871	0.190884
0.425799	0.59518	0.191095
0.437004	0.601649	0.191336
0.448209	0.608118	0.191493
0.459415	0.614588	0.191493
0.47062	0.621057	0.191336
0.481825	0.627527	0.191095
0.49303	0.633996	0.190884
0.504236	0.640465	0.190801
0.313747	0.530486	0.190884
0.324952	0.536956	0.191095
0.336157	0.543425	0.191336
0.347362	0.549894	0.191493
0.358568	0.556364	0.191493
0.369773	0.562833	0.191336
0.380978	0.569302	0.191095
0.392183	0.575772	0.190884
0.403388	0.362283	0.190394
0.414594	0.368753	0.190091
0.425799	0.375222	0.189959
0.437004	0.381692	0.189929
0.448209	0.388161	0.18993
0.459415	0.39463	0.18993
0.47062	0.401099	0.189959
0.481825	0.407569	0.190091
0.49303	0.414038	0.190394
0.504236	0.420508	0.190884
0.313747	0.310529	0.191498
0.324952	0.316998	0.19211
0.336157	0.323467	0.192561
0.347362	0.329937	0.192728
0.358568	0.336406	0.192561
0.369773	0.342875	0.192109
0.380978	0.349345	0.191499
0.392183	0.355814	0.190884
0.403388	0.375222	0.189252
0.414594	0.381691	0.188652
0.425799	0.388161	0.188292
0.437004	0.39463	0.188131
0.448209	0.401099	0.188132
0.459415	0.407569	0.188292
0.47062	0.414038	0.188652
0.481825	0.420507	0.189252
0.49303	0.426977	0.190091
0.504236	0.433446	0.191095
0.313747	0.323467	0.19211
0.324952	0.329937	0.192941
0.336157	0.336406	0.193411
0.347362	0.342875	0.193411
0.358568	0.349345	0.192941
0.369773	0.355814	0.192109
0.380978	0.362283	0.191095
0.392183	0.368753	0.190092
0.403388	0.388161	0.187574
0.414594	0.39463	0.186805
0.425799	0.401099	0.186358
0.437004	0.407569	0.186212
0.448209	0.414038	0.186358
0.459415	0.420508	0.186805
0.47062	0.426977	0.187574
0.481825	0.433446	0.188652
0.49303	0.439916	0.189959
0.504236	0.446385	0.191336
0.313747	0.336406	0.192561
0.324952	0.342875	0.193411
0.336157	0.349345	0.193716
0.347362	0.355814	0.193412
0.358568	0.362283	0.192561
0.369773	0.368753	0.191335
0.380978	0.375222	0.189959
0.392183	0.381691	0.188652
0.403388	0.401099	0.185622
0.414594	0.407569	0.18482
0.425799	0.414038	0.18442
