#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 350 152
# Band-Index:    1
   0.84363    -43.446466    -43.446462
   0.83501    -43.446462    -43.446457
   0.82640    -43.446458    -43.446454
   0.81779    -43.446455    -43.446450
   0.80918    -43.446452    -43.446447
   0.80056    -43.446449    -43.446444
   0.79195    -43.446446    -43.446441
   0.78334    -43.446443    -43.446439
   0.77473    -43.446441    -43.446437
   0.76612    -43.446439    -43.446435
   0.75750    -43.446438    -43.446433
   0.74889    -43.446437    -43.446432
   0.74028    -43.446436    -43.446432
   0.73167    -43.446436    -43.446432
   0.73167    -43.446436    -43.446432
   0.71673    -43.446428    -43.446424
   0.70180    -43.446407    -43.446402
   0.68687    -43.446372    -43.446367
   0.67194    -43.446323    -43.446319
   0.65701    -43.446261    -43.446256
   0.64207    -43.446185    -43.446180
   0.62714    -43.446096    -43.446091
   0.61221    -43.445995    -43.445990
   0.59728    -43.445882    -43.445877
   0.58235    -43.445760    -43.445754
   0.56741    -43.445662    -43.445661
   0.55248    -43.445743    -43.445741
   0.53755    -43.445822    -43.445820
   0.52262    -43.445898    -43.445897
   0.50769    -43.445972    -43.445970
   0.49275    -43.446051    -43.446048
   0.47782    -43.446161    -43.446157
   0.46289    -43.446266    -43.446261
   0.44796    -43.446356    -43.446351
   0.43303    -43.446433    -43.446428
   0.41809    -43.446495    -43.446491
   0.40316    -43.446544    -43.446539
   0.38823    -43.446579    -43.446575
   0.37330    -43.446601    -43.446596
   0.35837    -43.446607    -43.446602
   0.34343    -43.446600    -43.446596
   0.32850    -43.446607    -43.446607
   0.31357    -43.446634    -43.446635
   0.29864    -43.446643    -43.446646
   0.28371    -43.446601    -43.446605
   0.26878    -43.446494    -43.446495
   0.25384    -43.446355    -43.446355
   0.23891    -43.446205    -43.446204
   0.22398    -43.446127    -43.446115
   0.20905    -43.446176    -43.446166
   0.19412    -43.446275    -43.446268
   0.17918    -43.446380    -43.446373
   0.16425    -43.446481    -43.446475
   0.14932    -43.446574    -43.446568
   0.13439    -43.446660    -43.446655
   0.11946    -43.446739    -43.446733
   0.10452    -43.446809    -43.446804
   0.08959    -43.446873    -43.446867
   0.07466    -43.446927    -43.446922
   0.05973    -43.446971    -43.446966
   0.04480    -43.447006    -43.447001
   0.02986    -43.447030    -43.447024
   0.01493    -43.447044    -43.447039
   0.00000    -43.447050    -43.447045
 
# Band-Index:    3
   0.00000    -43.443639    -43.443649
   0.01493    -43.443705    -43.443712
   0.02986    -43.443850    -43.443853
   0.04480    -43.444022    -43.444023
   0.05973    -43.444205    -43.444205
   0.07466    -43.444391    -43.444391
   0.08959    -43.444577    -43.444576
   0.10452    -43.444761    -43.444759
   0.11946    -43.444942    -43.444940
   0.13439    -43.445117    -43.445115
   0.14932    -43.445285    -43.445284
   0.16425    -43.445445    -43.445443
   0.17918    -43.445596    -43.445595
   0.19412    -43.445735    -43.445734
   0.20905    -43.445889    -43.445887
   0.22398    -43.446049    -43.446048
   0.23891    -43.446179    -43.446170
   0.25384    -43.446267    -43.446260
   0.26878    -43.446353    -43.446347
   0.28371    -43.446429    -43.446423
   0.29864    -43.446492    -43.446487
   0.31357    -43.446543    -43.446538
   0.32850    -43.446579    -43.446574
   0.34343    -43.446571    -43.446570
   0.35837    -43.446532    -43.446531
   0.37330    -43.446488    -43.446487
   0.38823    -43.446443    -43.446442
   0.40316    -43.446395    -43.446393
   0.41809    -43.446344    -43.446342
   0.43303    -43.446289    -43.446287
   0.44796    -43.446232    -43.446230
   0.46289    -43.446171    -43.446169
   0.47782    -43.446105    -43.446103
   0.49275    -43.446030    -43.446026
   0.50769    -43.445907    -43.445901
   0.52262    -43.445766    -43.445760
   0.53755    -43.445624    -43.445616
   0.55248    -43.445547    -43.445536
   0.56741    -43.445632    -43.445625
   0.58235    -43.445577    -43.445576
   0.59728    -43.445490    -43.445489
   0.61221    -43.445401    -43.445401
   0.62714    -43.445310    -43.445310
   0.64207    -43.445218    -43.445218
   0.65701    -43.445122    -43.445124
   0.67194    -43.445027    -43.445030
   0.68687    -43.444934    -43.444939
   0.70180    -43.444847    -43.444854
   0.71673    -43.444779    -43.444789
   0.73167    -43.444751    -43.444762
   0.73167    -43.444751    -43.444762
   0.74028    -43.444755    -43.444766
   0.74889    -43.444764    -43.444775
   0.75750    -43.444780    -43.444791
   0.76612    -43.444802    -43.444813
   0.77473    -43.444831    -43.444841
   0.78334    -43.444864    -43.444875
   0.79195    -43.444903    -43.444913
   0.80056    -43.444946    -43.444956
