#K-Path(1/A)   Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 306 104
# Band-Index:    1
   0.84838    -14.530689    -14.531316
   0.83335    -14.533147    -14.533667
   0.81833    -14.534688    -14.535113
   0.80331    -14.535311    -14.535654
   0.78828    -14.535018    -14.535288
   0.77326    -14.533810    -14.534020
   0.75824    -14.531697    -14.531855
   0.74321    -14.528684    -14.528800
   0.72819    -14.524784    -14.524866
   0.71317    -14.520017    -14.520072
   0.69814    -14.514410    -14.514445
   0.68312    -14.508008    -14.508028
   0.66810    -14.500891    -14.500901
   0.65307    -14.493218    -14.493222
   0.63805    -14.485370    -14.485371
   0.62303    -14.478412    -14.478412
   0.60800    -14.475204    -14.475204
   0.60800    -14.475204    -14.475204
   0.59584    -14.474905    -14.474905
   0.58368    -14.474003    -14.474003
   0.57152    -14.472498    -14.472498
   0.55936    -14.470394    -14.470393
   0.54720    -14.467690    -14.467690
   0.53504    -14.464391    -14.464391
   0.52288    -14.460496    -14.460496
   0.51072    -14.456011    -14.456011
   0.49856    -14.450939    -14.450939
   0.48640    -14.445286    -14.445286
   0.47424    -14.439053    -14.439053
   0.46208    -14.432248    -14.432248
   0.44992    -14.424876    -14.424876
   0.43776    -14.416945    -14.416945
   0.42560    -14.408462    -14.408462
   0.41344    -14.399435    -14.399435
   0.40128    -14.389872    -14.389872
   0.38912    -14.379787    -14.379787
   0.37696    -14.369191    -14.369191
   0.36480    -14.358096    -14.358096
   0.35264    -14.346519    -14.346519
   0.34048    -14.334478    -14.334478
   0.32832    -14.321994    -14.321994
   0.31616    -14.309086    -14.309086
   0.30400    -14.295782    -14.295782
   0.29184    -14.282118    -14.282118
   0.27968    -14.268130    -14.268130
   0.26752    -14.253862    -14.253862
   0.25536    -14.239364    -14.239364
   0.24320    -14.224691    -14.224691
   0.23104    -14.209899    -14.209899
   0.21888    -14.195038    -14.195038
   0.20672    -14.180160    -14.180160
   0.19456    -14.165315    -14.165315
   0.18240    -14.150555    -14.150555
   0.17024    -14.135947    -14.135947
   0.15808    -14.121581    -14.121581
   0.14592    -14.107600    -14.107600
   0.13376    -14.094235    -14.094235
   0.12160    -14.081929    -14.081929
   0.10944    -14.071647    -14.071647
   0.09728    -14.065663    -14.065664
   0.08512    -14.067895    -14.067895
   0.07296    -14.079127    -14.079127
   0.06080    -14.094983    -14.094983
   0.04864    -14.111675    -14.111675
   0.03648    -14.127023    -14.127023
   0.02432    -14.139459    -14.139459
   0.01216    -14.147628    -14.147628
   0.00000    -14.150487    -14.150487
 
# Band-Index:    3
   0.00000    -13.978383    -13.978383
   0.01216    -13.979511    -13.979511
   0.02432    -13.982803    -13.982803
   0.03648    -13.987989    -13.987989
   0.04864    -13.994621    -13.994621
   0.06080    -14.002005    -14.002005
   0.07296    -14.008959    -14.008959
   0.08512    -14.013640    -14.013640
   0.09728    -14.016955    -14.016955
   0.10944    -14.025914    -14.025914
   0.12160    -14.040350    -14.040350
   0.13376    -14.056901    -14.056901
   0.14592    -14.074160    -14.074160
   0.15808    -14.091597    -14.091597
   0.17024    -14.108971    -14.108971
   0.18240    -14.126142    -14.126142
   0.19456    -14.143021    -14.143021
   0.20672    -14.159544    -14.159544
   0.21888    -14.175663    -14.175663
   0.23104    -14.191343    -14.191343
   0.24320    -14.206566    -14.206566
   0.25536    -14.221325    -14.221325
   0.26752    -14.235623    -14.235623
   0.27968    -14.249464    -14.249464
   0.29184    -14.262856    -14.262856
   0.30400    -14.275804    -14.275804
   0.31616    -14.288313    -14.288313
   0.32832    -14.300380    -14.300380
   0.34048    -14.312002    -14.312002
   0.35264    -14.323178    -14.323178
   0.36480    -14.333899    -14.333899
   0.37696    -14.344160    -14.344160
   0.38912    -14.353952    -14.353952
   0.40128    -14.363266    -14.363266
   0.41344    -14.372095    -14.372095
   0.42560    -14.380430    -14.380430
   0.43776    -14.388263    -14.388263
   0.44992    -14.395589    -14.395589
   0.46208    -14.402399    -14.402399
   0.47424    -14.408688    -14.408688
   0.48640    -14.414450    -14.414450
   0.49856    -14.419679    -14.419679
   0.51072    -14.424372    -14.424372
   0.52288    -14.428522    -14.428522
   0.53504    -14.432127    -14.432127
   0.54720    -14.435183    -14.435183
   0.55936    -14.437686    -14.437686
   0.57152    -14.439636    -14.439636
   0.58368    -14.441030    -14.441030
   0.59584    -14.441867    -14.441867
   0.60800    -14.442145    -14.442145
   0.60800    -14.442145    -14.442145
   0.62303    -14.438114    -14.438114
   0.63805    -14.428678    -14.428677
   0.65307    -14.416703    -14.416699
   0.66810    -14.403263    -14.403252
   0.68312    -14.388744    -14.388723
   0.69814    -14.373317    -14.373280
   0.71317    -14.357077    -14.357017
   0.72819    -14.340084    -14.339994
   0.74321    -14.322388    -14.322258
   0.75824    -14.304032    -14.303852
   0.77326    -14.285047    -14.284806
   0.78828    -14.265471    -14.265156
   0.80331    -14.245341    -14.244938
   0.81833    -14.224692    -14.224186
   0.83335    -14.203562    -14.202935
   0.84838    -14.181993    -14.181229
   0.86340    -14.160023    -14.159103
   0.87842    -14.137696    -14.136598
   0.89345    -14.115057    -14.113759
   0.90847    -14.092156    -14.090634
   0.92349    -14.069042    -14.067273
   0.93852    -14.045773    -14.043727
   0.95354    -14.022408    -14.020056
   0.96856    -13.999018    -13.996325
   0.98359    -13.975681    -13.972609
   0.99861    -13.952493    -13.948992
   1.01363    -13.929575    -13.925584
   1.02866    -13.907099    -13.902529
   1.04368    -13.885327    -13.880042
   1.05870    -13.864729    -13.858499
   1.07373    -13.846267    -13.838674
   1.08875    -13.832082    -13.822447
   1.10377    -13.826090    -13.814106
   1.11880    -13.830534    -13.817485
   1.13382    -13.842114    -13.829071
   1.14884    -13.856944    -13.844066
   1.16387    -13.873081    -13.860304
   1.17889    -13.889672    -13.876935
   1.19391    -13.906303    -13.893574
   1.20894    -13.922740    -13.910012
   1.22396    -13.938826    -13.926115
   1.23898    -13.954434    -13.941774
   1.25401    -13.969443    -13.956894
   1.26903    -13.983708    -13.971369
   1.28405    -13.997029    -13.985062
   1.29908    -14.009094    -13.997786
   1.31410    -14.019367    -14.009247
   1.32912    -14.026951    -14.018968
   1.34415    -14.030707    -14.028459
   1.35917    -14.030245    -14.030245
   1.35917    -14.030245    -14.030245
   1.36451    -14.029098    -14.030798
   1.36985    -14.027402    -14.030735
   1.37520    -14.025215    -14.030057
   1.38054    -14.022597    -14.028794
   1.38588    -14.019610    -14.026996
   1.39122    -14.016305    -14.024721
   1.39657    -14.012731    -14.022032
   1.40191    -14.008924    -14.018986
   1.40725    -14.004918    -14.015636
   1.41259    -14.000738    -14.012026
   1.41794    -13.996405    -14.008193
   1.42328    -13.991939    -14.004167
   1.42862    -13.987354    -13.999974
   1.43396    -13.982662    -13.995634
   1.43931    -13.977875    -13.991165
   1.44465    -13.973001    -13.986579
   1.44999    -13.968050    -13.981891
   1.45533    -13.963028    -13.977110
   1.46068    -13.957942    -13.972244
   1.46602    -13.952800    -13.967305
   1.47136    -13.947608    -13.962297
   1.47670    -13.942372    -13.957228
   1.48205    -13.937096    -13.952103
   1.48739    -13.931787    -13.946929
   1.49273    -13.926451    -13.941712
   1.49807    -13.921095    -13.936457
   1.50342    -13.915726    -13.931170
   1.50876    -13.910351    -13.925859
   1.51410    -13.904977    -13.920527
   1.51944    -13.899614    -13.915184
   1.52479    -13.894273    -13.909836
   1.53013    -13.888963    -13.904491
   1.53547    -13.883696    -13.899156
   1.54081    -13.878490    -13.893843
   1.54616    -13.873359    -13.888563
   1.55150    -13.868324    -13.883327
   1.55684    -13.863408    -13.878150
   1.56218    -13.858637    -13.873050
   1.56753    -13.854045    -13.868044
   1.57287    -13.849667    -13.863158
   1.57821    -13.845549    -13.858417
   1.58355    -13.841740    -13.853852
   1.58890    -13.838298    -13.849503
   1.59424    -13.835285    -13.845411
